"Órgão ";"Quantidade De Viagens ";"Quantidade De Diárias ";"Valor Pago Diárias ";"Valor Pago Passagens ";"Valor Total "
"ADVOCACIA GERAL DO ESTADO DE MINAS GERAIS - AGE";"427";"255,45";"54.043,52";"70.795,67";"124.839,19"
"AGENCIA DE DESENVOLVIMENTO DA REGIAO METROPOLITANA DE BELO HORIZONTE - ARMBH";"129";"47,45";"7.926,70";"3.587,80";"11.514,50"
"AGENCIA DE DESENVOLVIMENTO METROPOLITANO DO VALE DO ACO - ARMVA";"32";"42,20";"12.921,80";"0,00";"12.921,80"
"AGENCIA REGULADORA DE SERVICOS DE ABASTECIMENTO DE AGUA E DE ESGOTAMENTO SANITARIO DO ESTADO DE MINAS GERAIS - ARSAE";"172";"433,15";"75.159,80";"23.200,51";"98.360,31"
"CONTROLADORIA GERAL DO ESTADO DE MINAS GERAIS - CGE";"126";"457,85";"85.502,18";"41.048,20";"126.550,38"
"DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS - DEER";"14084";"9.936,60";"1.616.052,63";"3.501,63";"1.619.554,26"
"DEPARTAMENTO ESTADUAL DE TELECOMUNICACOES DO ESTADO DE MINAS GERAIS - DETEL (EXTINTO)";"156";"182,60";"34.041,72";"10.672,18";"44.713,90"
"ESCOLA DE SAUDE PUBLICA DO ESTADO DE MINAS GERAIS - ESP";"122";"63,20";"18.472,75";"35.925,99";"54.398,74"
"FUNDACAO CENTRO DE HEMATOLOGIA E HEMOTERAPIA DE MINAS GERAIS - HEMOMINAS";"2397";"2.816,30";"467.894,23";"93.916,17";"561.810,40"
"FUNDACAO CLOVIS SALGADO - FCS";"17";"23,95";"6.504,50";"3.075,65";"9.580,15"
"FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS - FAPEMIG";"654";"1.500,10";"412.310,77";"269.471,85";"681.782,62"
"FUNDACAO DE EDUCACAO PARA O TRABALHO DE MINAS GERAIS - UTRAMIG";"9";"2,80";"592,20";"2.576,75";"3.168,95"
"FUNDACAO EDUCACIONAL CAIO MARTINS - FUCAM";"126";"405,75";"63.023,64";"0,00";"63.023,64"
"FUNDACAO ESTADUAL DO MEIO AMBIENTE - FEAM";"245";"592,10";"111.905,70";"93.249,81";"205.155,51"
"FUNDACAO EZEQUIEL DIAS - FUNED";"493";"1.658,25";"313.719,55";"180.383,52";"494.103,07"
"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS - FHEMIG";"1274";"1.160,80";"282.543,41";"0,00";"282.543,41"
"FUNDACAO JOAO PINHEIRO - FJP";"156";"601,65";"100.785,75";"0,00";"100.785,75"
"FUNDACAO TV MINAS CULTURAL E EDUCATIVA - REDE MINAS";"100";"141,00";"32.613,00";"0,00";"32.613,00"
"FUNDAÇÃO DE ARTE DE OURO PRETO - FAOP";"17";"27,95";"9.696,85";"0,00";"9.696,85"
"GABINETE MILITAR DO GOVERNADOR - GMG";"215";"338,85";"90.788,25";"57.809,59";"148.597,84"
"INSTITUTO DE DESENVOLVIMENTO DO NORTE E NORDESTE DE MINAS GERAIS - IDENE";"339";"823,30";"156.055,10";"112.680,90";"268.736,00"
"INSTITUTO DE METROLOGIA E QUALIDADE DO ESTADO DE MINAS GERAIS - IPEM";"2913";"10.457,80";"1.704.651,03";"0,00";"1.704.651,03"
"INSTITUTO DE PREVIDENCIA DOS SERVIDORES DO ESTADO DE MINAS GERAIS - IPSEMG";"105";"181,75";"37.633,30";"42.279,62";"79.912,92"
