"Órgão ";"Quantidade De Viagens ";"Quantidade De Diárias ";"Valor Pago Diárias ";"Valor Pago Passagens ";"Valor Total "
"ADVOCACIA GERAL DO ESTADO DE MINAS GERAIS - AGE";"373";"239,15";"53.696,30";"83.292,37";"136.988,67"
"AGENCIA DE DESENVOLVIMENTO DA REGIAO METROPOLITANA DE BELO HORIZONTE - ARMBH";"10";"11,15";"3.630,20";"7.164,76";"10.794,96"
"AGENCIA DE DESENVOLVIMENTO METROPOLITANO DO VALE DO ACO - ARMVA";"54";"99,90";"27.185,60";"0,00";"27.185,60"
"AGENCIA REGULADORA DE SERVICOS DE ABASTECIMENTO DE AGUA E DE ESGOTAMENTO SANITARIO DO ESTADO DE MINAS GERAIS - ARSAE";"165";"379,95";"91.140,75";"60.524,96";"151.665,71"
"CONTROLADORIA GERAL DO ESTADO DE MINAS GERAIS - CGE";"84";"249,70";"63.948,20";"57.872,29";"121.820,49"
"DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS - DEER";"2655";"4.091,05";"732.848,22";"5.160,78";"738.009,00"
"ESCOLA DE SAUDE PUBLICA DO ESTADO DE MINAS GERAIS - ESP";"62";"136,85";"28.330,85";"22.616,70";"50.947,55"
"FUNDACAO CENTRO DE HEMATOLOGIA E HEMOTERAPIA DE MINAS GERAIS - HEMOMINAS";"968";"1.303,70";"208.960,19";"18.231,60";"227.191,79"
"FUNDACAO CLOVIS SALGADO - FCS";"9";"23,15";"8.360,25";"7.857,58";"16.217,83"
"FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS - FAPEMIG";"322";"584,60";"162.525,51";"202.937,87";"365.463,38"
"FUNDACAO DE EDUCACAO PARA O TRABALHO DE MINAS GERAIS - UTRAMIG";"4";"4,05";"850,50";"5.851,20";"6.701,70"
"FUNDACAO EDUCACIONAL CAIO MARTINS - FUCAM";"25";"94,75";"17.544,75";"0,00";"17.544,75"
"FUNDACAO ESTADUAL DO MEIO AMBIENTE - FEAM";"220";"450,25";"81.504,55";"18.383,44";"99.887,99"
"FUNDACAO EZEQUIEL DIAS - FUNED";"346";"1.143,60";"201.389,03";"110.421,67";"311.810,70"
"FUNDACAO HELENA ANTIPOFF - FHA";"14";"28,20";"5.675,25";"8.657,60";"14.332,85"
"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS - FHEMIG";"1213";"1.319,35";"328.505,38";"98.498,78";"427.004,16"
"FUNDACAO JOAO PINHEIRO - FJP";"106";"233,75";"46.912,00";"38.300,59";"85.212,59"
"FUNDACAO TV MINAS CULTURAL E EDUCATIVA - REDE MINAS";"68";"137,80";"26.266,32";"0,00";"26.266,32"
"FUNDAÇÃO DE ARTE DE OURO PRETO - FAOP";"17";"32,25";"9.098,34";"0,00";"9.098,34"
"GABINETE MILITAR DO GOVERNADOR - GMG";"199";"247,45";"67.507,30";"32.727,26";"100.234,56"
"INSTITUTO DE DESENVOLVIMENTO DO NORTE E NORDESTE DE MINAS GERAIS - IDENE";"132";"264,20";"50.719,62";"32.528,99";"83.248,61"
"INSTITUTO DE METROLOGIA E QUALIDADE DO ESTADO DE MINAS GERAIS - IPEM";"1533";"5.312,85";"860.614,93";"29.716,12";"890.331,05"
